,样本id,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,收率
1198,324.0,300,,405.0,700,20:00:00,38.0,20:15:00,80.0,22:00:00,100,23:00:00,102,0.2,0:00:00,103.0,1:00:00,102.0,0.2,300,7:00-7:30,50.0,9.0,5.0,7:30:00,70,8:00:00,75,15:30-16:00,300.0,3.5,3.5,16:00-18:00,18:00:00,65,21:30:00,45.0,21:30-22:30,23:30-0:30,,800.0,0.15,400,0.8909999999999999
1299,325.0,300,,405.0,700,9:00:00,21.0,9:30:00,74.0,11:00:00,100,12:00:00,102,0.2,13:00:00,103.0,14:00:00,104.0,0.2,300,16:30-17:00,50.0,9.0,5.0,17:30:00,70,18:00:00,75,0:00-0:30,300.0,3.5,3.5,0:30-1:30,1:30:00,50,7:30:00,30.0,8:00-9:30,10:00-11:30,,800.0,0.15,400,0.8909999999999999
696,326.0,300,,405.0,700,17:30:00,21.0,18:00:00,73.0,19:30:00,100,20:30:00,102,0.2,21:30:00,103.0,22:30:00,102.0,0.2,300,0:30-1:00,50.0,9.0,5.0,1:00:00,70,1:30:00,75,11:00-11:30,300.0,3.5,3.5,11:30-13:00,13:00:00,50,17:00:00,40.0,17:00-18:30,19:00-21:00,,800.0,0.15,400,0.902
841,328.0,300,,405.0,700,12:30:00,38.0,12:40:00,80.0,14:00:00,100,15:00:00,102,0.2,16:00:00,103.0,17:00:00,102.0,0.2,300,20:00-20:30,50.0,9.0,5.0,21:00:00,70,21:30:00,75,5:00-5:30,300.0,3.5,3.5,5:30-7:30,7:30:00,50,13:00:00,32.0,13:00-14:30,15:30-17:00,,800.0,0.15,400,0.8909999999999999
352,329.0,300,,405.0,700,21:30:00,21.0,22:00:00,73.0,0:00:00,100,1:00:00,102,0.2,2:00:00,103.0,3:00:00,104.0,0.2,300,5:30-6:00,50.0,9.0,5.0,6:30:00,70,7:00:00,75,16:00-16:30,330.0,3.5,3.5,16:30-18:00,18:00:00,50,23:00:00,45.0,23:00-0:30,1:30-3:00,,800.0,0.15,400,0.902
1030,330.0,300,,405.0,700,7:00:00,21.0,7:30:00,74.0,8:45:00,100,9:30:00,102,0.2,10:20:00,103.0,11:30:00,104.0,0.2,300,16:30-17:00,50.0,9.0,5.0,17:00:00,70,17:30:00,75,2:00-2:30,330.0,3.5,3.5,2:30-4:30,4:30:00,65,8:00:00,27.0,8:00-9:30,10:00-11:30,,800.0,0.15,400,0.902
127,331.0,300,,405.0,700,17:30:00,39.0,17:45:00,80.0,18:40:00,100,19:40:00,102,0.2,20:40:00,103.0,21:40:00,102.0,0.2,300,2:30-3:00,50.0,9.0,5.0,3:00:00,70,3:30:00,75,11:30-12:00,330.0,3.5,3.5,12:00-14:00,12:00:00,50,14:00:00,28.0,17:00-18:30,19:00-21:00,,800.0,0.15,395,0.902
605,332.0,300,,405.0,700,3:30:00,38.0,3:40:00,80.0,5:00:00,100,6:00:00,103,0.2,7:00:00,102.0,8:00:00,102.0,0.2,300,12:10-12:30,50.0,9.0,5.0,12:30:00,70,13:00:00,75,18:30-19:00,340.0,3.5,3.5,19:00-20:00,20:00:00,60,0:30:00,39.0,0:30-2:00,3:30-5:00,,800.0,0.15,400,0.902
592,333.0,300,,405.0,700,12:30:00,47.0,13:00:00,80.0,15:00:00,100,16:00:00,102,0.2,17:00:00,102.0,18:00:00,103.0,0.2,300,19:00-19:30,50.0,9.0,5.0,19:30:00,70,20:00:00,75,4:00-4:30,330.0,3.5,3.5,4:30-5:30,5:30:00,60,10:30:00,45.0,10:30-12:00,13:30-15:00,,800.0,0.15,400,0.902
773,335.0,300,,405.0,700,6:00:00,42.0,6:25:00,80.0,8:05:00,100,9:05:00,103,0.2,10:05:00,102.0,11:05:00,104.0,0.2,300,14:30-15:00,50.0,9.0,5.0,15:30:00,70,16:00:00,75,23:30-0:00,330.0,3.5,3.5,0:00-2:00,2:00:00,65,8:00:00,26.0,8:00-9:30,10:30-12:00,,800.0,0.15,400,0.8909999999999999
1323,336.0,300,,405.0,700,15:30:00,38.0,15:40:00,80.0,17:00:00,100,18:00:00,102,0.2,19:00:00,103.0,20:00:00,102.0,0.2,300,0:30-1:00,50.0,9.0,5.0,1:30:00,70,2:00:00,75,11:00-11:30,330.0,3.5,3.5,11:30-12:30,12:30:00,60,15:30:00,37.0,15:30-17:00,19:00-21:00,,800.0,0.15,400,0.902
949,337.0,300,,405.0,700,2:00:00,39.0,2:20:00,80.0,4:00:00,100,5:00:00,102,0.2,6:00:00,104.0,7:00:00,104.0,0.2,300,11:30-12:00,50.0,9.0,5.0,12:00:00,70,12:30:00,75,19:30-20:00,,3.5,3.5,20:00-22:00,22:00:00,65,2:30:00,45.0,2:30-4:00,5:00-6:30,,800.0,0.15,400,0.902
682,338.0,300,,405.0,700,12:30:00,40.0,12:40:00,80.0,14:00:00,100,15:00:00,102,0.2,16:00:00,104.0,17:00:00,104.0,0.2,300,20:00-20:30,50.0,9.0,5.0,20:30:00,70,21:00:00,75,5:30-6:00,330.0,3.5,3.5,6:00-7:30,7:30:00,65,12:00:00,25.0,12:30-13:30,14:00-15:30,,800.0,0.15,400,0.8909999999999999
317,339.0,300,,405.0,700,21:00:00,38.0,21:10:00,80.0,23:30:00,100,23:30:00,102,0.2,0:30:00,104.0,1:30:00,103.0,0.2,300,6:00-6:30,50.0,9.0,5.0,6:00:00,70,7:00:00,75,14:30-15:00,350.0,3.5,3.5,15:00-17:00,17:00:00,48,22:00:00,30.0,22:00-23:00,0:30-2:00,,800.0,0.15,400,0.879
881,340.0,300,,405.0,700,7:00:00,38.0,7:10:00,80.0,8:50:00,100,9:50:00,103,0.2,10:50:00,104.0,11:50:00,104.0,0.2,300,15:30-16:00,50.0,9.0,5.0,16:00:00,70,16:30:00,75,1:00-1:30,350.0,3.5,3.5,1:30-2:30,2:30:00,50,7:30:00,40.0,8:00-9:30,10:30-12:00,,800.0,0.15,400,0.8909999999999999
1060,341.0,300,,405.0,700,17:00:00,38.0,17:10:00,82.0,19:00:00,100,20:00:00,102,0.2,21:00:00,105.0,22:00:00,104.0,0.2,300,1:30-2:00,50.0,9.0,5.0,2:00:00,70,2:30:00,75,11:00-11:30,350.0,3.5,3.5,11:30-13:00,13:00:00,65,17:00:00,45.0,17:00-18:30,19:00-20:30,,800.0,0.15,400,0.902
1098,342.0,300,,405.0,700,2:30:00,36.0,2:45:00,80.0,4:30:00,100,5:30:00,102,0.2,6:30:00,104.0,7:30:00,104.0,0.2,300,11:30-12:00,50.0,9.0,5.0,12:30:00,70,15:00:00,75,19:30-20:00,360.0,3.5,3.5,20:00-22:00,22:00:00,56,1:00:00,28.0,1:00-2:30,3:00-4:30,,800.0,0.15,400,0.8909999999999999
923,344.0,300,,405.0,700,21:30:00,38.0,21:45:00,80.0,23:40:00,100,0:40:00,102,0.2,1:40:00,104.0,2:40:00,105.0,0.2,300,4:30-5:00,50.0,9.0,5.0,5:00:00,70,5:30:00,75,14:00-14:30,370.0,3.5,3.5,14:30-16:00,16:00:00,50,21:30:00,50.0,21:30-23:00,0:00-1:30,,800.0,0.15,400,0.902
635,345.0,300,,405.0,700,6:00:00,38.0,6:15:00,82.0,7:40:00,100,8:40:00,102,0.2,9:40:00,103.0,10:40:00,103.0,0.2,300,14:30-15:00,50.0,9.0,5.0,15:00:00,70,15:30:00,75,0:30-1:00,370.0,3.5,3.5,1:00-3:00,3:00:00,65,8:00:00,27.0,8:00-9:30,10:00-11:30,,800.0,0.15,400,0.8909999999999999
588,346.0,300,,405.0,700,15:30:00,37.0,15:40:00,80.0,17:20:00,100,18:20:00,102,0.2,19:20:00,102.0,20:20:00,102.0,0.2,300,1:00-1:30,50.0,9.0,5.0,1:30:00,70,2:00:00,75,10:30-11:00,370.0,3.5,3.5,11:00-13:00,13:00:00,57,17:00:00,27.0,17:00-18:30,19:30-21:00,,800.0,0.15,400,0.902
570,347.0,300,,405.0,700,2:00:00,38.0,2:10:00,80.0,3:30:00,100,4:30:00,102,0.2,5:30:00,103.0,6:30:00,102.0,0.2,300,11:30-12:00,50.0,9.0,5.0,12:00:00,70,12:30:00,75,17:30-18:00,370.0,3.5,3.5,18:00-19:00,19:00:00,45,0:30:00,37.0,0:30-2:00,4:00-5:30,,800.0,0.15,400,0.902
975,349.0,300,,405.0,700,19:30:00,39.0,19:40:00,80.0,21:20:00,100,22:20:00,102,0.2,23:20:00,102.0,0:20:00,104.0,0.2,300,5:00-5:30,50.0,9.0,5.0,5:30:00,70,6:00:00,75,14:00-14:30,370.0,3.5,3.5,14:30-16:30,16:30:00,65,21:00:00,28.0,21:00-23:30,23:00-0:30,,800.0,0.15,400,0.902
417,350.0,300,,405.0,700,6:00:00,41.0,6:15:00,80.0,7:30:00,100,8:30:00,103,0.2,9:30:00,102.0,10:30:00,102.0,0.2,300,14:30-15:00,50.0,9.0,5.0,15:30:00,70,16:00:00,75,23:30-0:00,370.0,3.5,3.5,0:00-1:30,1:30:00,45,8:00:00,26.0,8:00-9:30,10:30-12:00,,800.0,0.15,400,0.8909999999999999
698,351.0,300,,405.0,700,15:30:00,38.0,15:40:00,80.0,17:00:00,100,18:00:00,103,0.2,19:00:00,103.0,20:00:00,103.0,0.2,300,0:30-1:00,50.0,9.0,5.0,1:00:00,70,1:30:00,75,11:00-11:30,370.0,3.5,3.5,11:30-12:30,12:30:00,50,16:00:00,38.0,16:00-17:30,19:00-20:30,,800.0,0.15,400,0.902
577,353.0,300,,405.0,700,12:30:00,38.0,12:40:00,80.0,14:20:00,100,15:20:00,102,0.2,16:20:00,103.0,17:20:00,104.0,0.2,300,20:00-20:30,50.0,9.0,5.0,20:30:00,70,21:00:00,75,5:30-6:00,370.0,3.5,3.5,6:00-8:00,8:00:00,65,12:30:00,27.0,12:30-14:00,14:35-16:00,,800.0,0.15,400,0.8909999999999999
46,355.0,300,,405.0,700,7:00:00,38.0,7:10:00,80.0,8:30:00,100,9:30:00,103,0.2,10:30:00,103.0,11:30:00,104.0,0.2,300,15:30-16:00,50.0,9.0,5.0,16:30:00,70,17:00:00,75,0:00-0:30,370.0,3.5,3.5,1:00-3:00,3:00:00,65,8:00:00,45.0,8:00-9:30,10:00-11:30,,800.0,0.15,400,0.9470000000000001
868,356.0,300,,405.0,700,16:30:00,38.0,16:40:00,80.0,18:30:00,100,19:30:00,102,0.2,20:30:00,102.0,21:30:00,103.0,0.2,300,1:00-1:30,50.0,9.0,5.0,1:30:00,70,2:00:00,75,11:00-11:30,370.0,3.5,3.5,11:30-13:30,13:30:00,65,17:00:00,45.0,17:00-18:30,19:30-21:00,,800.0,0.15,420,0.9229999999999999
475,357.0,300,,405.0,700,2:00:00,38.0,2:10:00,80.0,4:00:00,100,5:00:00,103,0.2,6:00:00,103.0,7:00:00,104.0,0.2,300,11:30-12:00,50.0,9.0,5.0,12:30:00,70,13:00:00,75,20:00-20:30,370.0,3.5,3.5,20:30-22:30,22:30:00,45,1:30:00,28.0,1:30-3:00,3:30-5:00,,800.0,0.15,400,0.935
920,358.0,300,,405.0,700,12:30:00,28.0,12:40:00,80.0,14:30:00,100,15:30:00,103,0.2,16:30:00,102.0,17:30:00,102.0,0.2,300,20:30-21:00,50.0,9.0,5.0,21:30:00,70,22:00:00,75,4:00-4:30,370.0,3.5,3.5,4:30-6:30,6:30:00,54,11:00:00,22.0,11:00-12:30,15:00-16:30,,800.0,0.15,400,0.902
147,359.0,300,,405.0,700,21:30:00,39.0,21:40:00,80.0,23:20:00,100,0:20:00,102,0.2,1:20:00,104.0,2:20:00,103.0,0.2,300,4:30-5:00,50.0,9.0,5.0,5:30:00,70,6:00:00,75,15:30-16:00,370.0,3.5,3.5,16:00-18:00,18:00:00,52,13:30:00,27.0,13:30-15:00,15:30-17:00,,800.0,0.15,420,0.9470000000000001
366,360.0,300,,405.0,700,18:00:00,38.0,18:10:00,80.0,19:50:00,100,20:50:00,104,0.2,21:50:00,103.0,22:50:00,102.0,0.2,300,23:00-23:30,50.0,10.0,5.0,0:00:00,70,0:30:00,75,16:00-16:30,370.0,3.5,3.5,16:30-18:30,18:30:00,40,20:30:00,30.0,22:00-23:30,0:30-2:00,,800.0,0.15,400,0.9470000000000001
75,363.0,300,,405.0,700,8:45:00,38.0,9:00:00,80.0,10:30:00,100,11:30:00,103,0.2,12:30:00,104.0,13:30:00,102.0,0.2,300,13:30-14:00,50.0,10.0,5.0,14:30:00,70,15:00:00,75,19:30-20:00,370.0,3.5,3.5,20:00-22:00,22:00:00,50,23:00:00,39.0,23:00-0:30,2:30-4:00,,800.0,0.15,420,0.9470000000000001
319,364.0,300,,405.0,700,14:30:00,38.0,14:40:00,80.0,16:00:00,100,17:00:00,103,0.2,18:00:00,102.0,19:00:00,104.0,0.2,300,20:00-20:30,50.0,9.0,5.0,20:30:00,70,21:00:00,75,3:00-3:30,370.0,3.5,3.5,3:30-5:30,5:30:00,53,8:00:00,45.0,10:30-12:00,12:30-14:00,,800.0,0.15,420,0.9470000000000001
61,365.0,300,,405.0,700,21:00:00,41.0,21:20:00,80.0,22:45:00,100,23:45:00,102,0.2,0:45:00,102.0,1:45:00,104.0,0.2,300,4:00-4:30,50.0,9.0,5.0,5:00:00,70,5:30:00,75,13:00-13:30,370.0,3.5,3.5,13:30-15:30,15:30:00,60,19:00:00,45.0,20:30-22:00,23:00-0:30,,800.0,0.15,420,0.9470000000000001
854,366.0,300,,405.0,700,6:50:00,38.0,7:00:00,80.0,8:30:00,100,9:30:00,102,0.2,10:30:00,103.0,11:30:00,103.0,0.2,300,14:00-14:30,,9.0,,14:30:00,70,15:00:00,75,23:30-0:00,370.0,3.5,3.5,0:00-2:30,2:30:00,65,8:00:00,27.0,8:00-9:30,10:00-11:30,,800.0,0.15,400,0.902
543,367.0,300,,405.0,700,15:00:00,41.0,15:00:00,80.0,16:30:00,100,17:30:00,102,0.2,18:30:00,102.0,19:30:00,102.0,0.2,300,0:00-0:30,50.0,9.0,5.0,1:00:00,70,1:30:00,75,10:30-11:00,370.0,3.5,3.5,11:00-13:00,13:00:00,40,17:00:00,27.0,17:00-18:30,19:30-21:00,,800.0,0.15,440,0.9790000000000001
57,368.0,300,,405.0,700,1:00:00,38.0,1:10:00,80.0,2:30:00,100,3:30:00,103,0.2,4:30:00,104.0,5:30:00,102.0,0.2,300,11:00-11:30,50.0,10.0,5.0,11:30:00,70,12:00:00,75,20:00-20:30,370.0,3.5,3.5,20:30-23:00,23:00:00,55,4:00:00,45.0,4:00-5:30,6:00-7:30,,800.0,0.15,420,0.935
1263,369.0,300,,405.0,700,12:00:00,37.0,12:15:00,80.0,13:50:00,100,14:50:00,103,0.2,15:50:00,104.0,16:50:00,103.0,0.2,300,21:00-21:30,50.0,9.0,5.0,21:30:00,70,22:00:00,75,6:30-7:00,370.0,3.5,3.5,7:00-8:00,8:00:00,65,10:30:00,45.0,10:30-12:00,13:30-15:00,,800.0,0.15,420,0.9470000000000001
874,370.0,300,,405.0,700,22:00:00,37.0,23:30:00,80.0,23:30:00,100,0:30:00,102,0.2,1:30:00,102.0,2:30:00,102.0,0.2,300,7:30-8:00,50.0,9.0,5.0,8:00:00,70,8:30:00,75,14:00-14:30,370.0,3.5,3.5,14:30-16:30,21:00:00,65,21:00:00,25.0,21:00-22:30,23:00-0:30,,800.0,0.15,420,0.9229999999999999
1258,371.0,300,,405.0,700,8:30:00,35.0,8:40:00,80.0,10:00:00,100,11:00:00,103,0.2,12:00:00,103.0,13:00:00,102.0,0.2,300,14:30-15:00,50.0,10.0,5.0,15:30:00,70,16:00:00,75,23:30-0:00,370.0,3.5,3.5,0:00-2:00,2:00:00,45,8:00:00,24.0,8:00-9:30,10:00-11:30,,800.0,0.15,440,0.9670000000000001
420,372.0,300,,405.0,700,15:30:00,38.0,15:40:00,80.0,17:00:00,100,18:00:00,103,0.2,19:00:00,102.0,20:00:00,103.0,0.2,300,0:00-0:30,50.0,10.0,5.0,0:30:00,70,1:00:00,75,10:30-11:00,370.0,3.5,3.5,11:00-13:00,13:00:00,60,15:30:00,45.0,15:30-17:00,17:00-19:00,,800.0,0.15,420,0.935
5,373.0,300,,405.0,700,2:00:00,39.0,2:30:00,80.0,3:30:00,100,4:30:00,103,0.2,5:30:00,104.0,6:30:00,102.0,0.2,300,11:30-12:00,50.0,9.0,5.0,12:00:00,70,12:30:00,75,17:30-18:00,,3.5,3.5,18:00-20:00,20:00:00,65,3:00:00,45.0,3:00-4:30,5:30-7:00,,800.0,0.15,420,0.935
1282,374.0,300,,405.0,700,12:30:00,41.0,12:40:00,80.0,14:00:00,100,15:00:00,102,0.2,16:00:00,102.0,17:00:00,102.0,0.2,300,18:30-19:00,50.0,9.0,5.0,19:00:00,70,19:30:00,75,6:00-6:30,370.0,3.5,3.5,6:30-8:00,8:00:00,58,12:00:00,30.0,12:00-13:30,14:30-18:00,,800.0,0.15,440,0.9670000000000001
486,375.0,300,,405.0,700,19:30:00,38.0,19:40:00,80.0,21:00:00,100,22:00:00,103,0.2,23:00:00,103.0,0:00:00,102.0,0.2,300,6:30-7:00,50.0,9.0,5.0,7:30:00,70,8:00:00,75,15:00-15:30,370.0,3.5,3.5,15:30-17:30,17:30:00,45,21:00:00,40.0,21:00-22:30,23:30-1:00,,800.0,0.15,440,0.9670000000000001
804,376.0,300,,405.0,700,7:30:00,38.0,7:40:00,80.0,9:00:00,100,10:00:00,102,0.2,11:00:00,104.0,12:00:00,103.0,0.2,300,15:30-16:00,50.0,10.0,5.0,16:00:00,70,16:30:00,75,0:00-0:30,370.0,3.5,3.5,0:30-2:30,2:30:00,60,8:00:00,40.0,8:00-9:30,10:00-11:30,,800.0,0.15,440,0.98
1251,378.0,300,,405.0,700,2:00:00,30.0,2:10:00,80.0,3:30:00,100,4:30:00,102,0.2,5:30:00,102.0,6:30:00,102.0,0.2,300,11:30-12:00,50.0,10.0,5.0,12:30:00,70,13:00:00,75,19:30-20:00,370.0,3.5,3.5,20:00-21:00,21:00:00,52,23:00:00,39.0,23:00-0:30,2:30-4:00,,800.0,0.15,440,0.9620000000000001
520,381.0,300,,405.0,700,6:00:00,40.0,6:20:00,80.0,7:30:00,100,8:30:00,102,0.2,9:30:00,103.0,10:30:00,104.0,0.2,300,15:00-15:30,50.0,9.0,5.0,15:30:00,70,16:00:00,75,1:00-1:30,370.0,3.5,3.5,1:30-3:30,3:30:00,65,8:00:00,40.0,8:00-9:30,10:00-11:30,,800.0,0.15,440,0.9670000000000001
497,383.0,300,,405.0,700,2:30:00,38.0,2:40:00,80.0,4:00:00,100,5:00:00,102,0.2,6:00:00,103.0,7:00:00,102.0,0.2,300,11:00-11:30,50.0,10.0,5.0,11:30:00,70,12:00:00,75,20:00-20:30,370.0,3.5,3.5,20:30-22:30,22:30:00,60,3:00:00,45.0,3:00-4:30,5:30-7:00,,800.0,0.15,440,0.9670000000000001
1260,384.0,300,,405.0,700,12:00:00,39.0,12:15:00,80.0,13:40:00,100,14:40:00,102,0.2,15:40:00,104.0,16:40:00,104.0,0.2,300,21:00-21:30,50.0,9.0,5.0,21:30:00,70,22:00:00,75,6:00-6:30,370.0,3.5,3.5,6:30-8:00,8:00:00,65,10:30:00,40.0,10:30-12:00,13:30-15:00,,800.0,0.15,420,0.935
1267,388.0,300,,405.0,700,22:00:00,23.0,,,23:00:00,100,0:00:00,104,0.2,1:00:00,105.0,2:00:00,108.0,0.2,300,2:10-2:40,50.0,9.0,5.0,3:00:00,70,3:30:00,80,3:30-4:30,310.0,3.5,3.5,5:00-6:00,6:00:00,65,8:00:00,45.0,8:10-9:20,9:40-10:50,,900.0,0.15,400,0.902
1322,389.0,300,,405.0,700,6:00:00,23.0,,,7:00:00,100,8:00:00,104,0.2,9:00:00,106.0,10:00:00,107.0,0.2,300,10:10-10:40,50.0,9.0,5.0,11:00:00,70,11:30:00,80,11:30-12:30,320.0,3.5,3.5,13:00-14:00,14:00:00,66,16:00:00,46.0,16:10-17:30,17:40-18:50,,800.0,0.15,400,0.902
599,390.0,300,,405.0,700,14:00:00,24.0,,,15:00:00,100,16:00:00,105,0.2,17:00:00,106.0,18:00:00,107.0,0.2,300,18:10-18:40,55.0,10.0,5.0,19:00:00,70,19:30:00,76,19:30-20:30,320.0,3.5,3.5,21:00-22:00,22:00:00,64,0:00:00,45.0,0:10-1:20,1:30-2:50,,900.0,0.15,400,0.902
408,392.0,300,,405.0,700,6:00:00,22.0,,,7:00:00,100,8:00:00,104,0.2,9:00:00,106.0,10:00:00,107.0,0.2,200,10:10-10:40,50.0,10.0,5.0,11:00:00,70,11:30:00,76,11:30-12:30,,,,13:00-14:00,14:00:00,63,16:00:00,45.0,16:20-17:30,17:40-19:00,,800.0,0.15,420,0.9229999999999999
728,393.0,300,,405.0,700,14:00:00,23.0,,,15:00:00,100,16:00:00,103,0.2,17:00:00,106.0,18:00:00,108.0,0.2,300,18:10-18:40,50.0,10.0,5.0,19:00:00,70,19:30:00,74,19:30-20:30,330.0,3.5,3.5,21:00-22:00,22:00:00,68,0:00:00,47.0,0:10-1:20,1:40-2:50,,900.0,0.15,400,0.8909999999999999
572,395.0,300,,405.0,700,6:00:00,22.0,,,7:00:00,100,8:00:00,102,0.2,9:00:00,104.0,10:00:00,106.0,0.2,200,10:10-10:40,50.0,10.0,5.0,11:00:00,70,11:30:00,74,11:30-12:30,300.0,3.5,3.5,13:00-14:00,14:00:00,63,16:00:00,45.0,16:10-17:10,17:30-18:40,,900.0,0.15,400,0.902
427,396.0,300,,405.0,700,14:00:00,24.0,,,15:00:00,100,16:00:00,105,0.2,17:00:00,107.0,18:00:00,107.0,0.2,300,18:10-18:40,50.0,9.0,5.0,19:00:00,70,19:30:00,77,19:30-20:30,320.0,3.5,3.5,21:00-22:00,22:00:00,67,0:00:00,45.0,0:10-1:20,1:40-2:50,,900.0,0.15,420,0.902
718,397.0,300,,405.0,700,22:00:00,23.0,,,23:00:00,100,0:00:00,103,0.2,1:00:00,105.0,2:00:00,107.0,0.2,300,2:10-2:40,50.0,9.0,5.0,3:00:00,70,3:30:00,77,3:30-4:30,320.0,3.5,3.5,5:00-6:00,6:00:00,68,8:00:00,47.0,8:10-9:20,9:40-10:30,,900.0,0.15,400,0.902
460,398.0,300,,405.0,700,6:00:00,23.0,,,7:00:00,100,8:00:00,104,0.2,9:00:00,106.0,10:00:00,108.0,0.2,300,10:10-10:40,50.0,9.0,5.0,11:00:00,70,11:30:00,74,11:30-12:30,310.0,3.5,3.5,13:00-14:00,14:00:00,65,16:00:00,45.0,16:10-17:20,17:40-18:50,,800.0,0.15,400,0.8909999999999999
1306,399.0,300,,405.0,700,14:00:00,24.0,,,15:00:00,100,16:00:00,104,0.2,17:00:00,106.0,18:00:00,107.0,0.2,200,18:10-18:40,50.0,9.0,5.0,19:00:00,70,19:30:00,76,19:30-20:30,300.0,3.5,3.5,21:00-22:00,22:20:00,65,0:00:00,45.0,0:10-1:20,1:40-2:50,,800.0,0.15,400,0.902
932,401.0,300,,405.0,700,10:00:00,18.0,,,11:30:00,101,12:30:00,103,0.2,13:30:00,105.0,14:30:00,108.0,0.2,200,14:30-15:30,50.0,9.0,5.0,16:00:00,72,16:30:00,79,16:30-17:30,380.0,3.5,3.5,17:30-18:30,18:30:00,70,20:30:00,45.0,20:30-22:00,22:30-0:00,,800.0,0.15,400,0.902
231,402.0,300,,405.0,700,16:00:00,19.0,,,17:30:00,100,18:30:00,103,0.2,19:30:00,105.0,20:30:00,107.0,0.2,200,20:30-21:30,50.0,9.0,5.0,22:00:00,71,22:30:00,76,22:30-23:30,360.0,3.5,3.5,23:30-0:30,0:30:00,76,2:30:00,45.0,2:30-4:00,4:30-6:00,,800.0,0.15,400,0.902
568,404.0,300,,405.0,700,4:00:00,21.0,,,5:30:00,100,6:30:00,103,0.2,7:30:00,105.0,8:30:00,107.0,0.2,200,8:30-9:30,50.0,10.0,5.0,10:00:00,70,10:30:00,77,10:30-11:30,380.0,3.5,3.5,11:30-12:30,12:30:00,70,14:30:00,50.0,14:30-16:00,16:00-17:30,,800.0,0.15,400,0.8909999999999999
808,405.0,300,,405.0,700,10:00:00,21.0,,,11:30:00,100,12:30:00,100,0.2,13:30:00,104.0,14:30:00,108.0,0.2,200,14:30-15:30,50.0,10.0,5.0,16:00:00,70,16:30:00,80,16:30-17:30,380.0,3.5,3.5,17:30-18:30,18:30:00,76,20:30:00,47.0,20:30-22:00,22:00-23:30,,800.0,0.15,400,0.8909999999999999
315,407.0,300,,405.0,700,22:00:00,18.0,,,23:30:00,101,0:30:00,103,0.2,1:30:00,105.0,2:30:00,108.0,0.2,200,2:30-3:30,50.0,9.0,5.0,4:00:00,72,4:30:00,79,4:30-5:30,380.0,3.5,3.5,5:30-6:30,6:30:00,76,8:30:00,45.0,8:30-10:00,10:30-12:00,,800.0,0.15,400,0.902
918,408.0,300,,405.0,700,4:00:00,21.0,,,5:30:00,100,6:30:00,103,0.2,7:30:00,105.0,8:30:00,107.0,0.2,200,8:30-9:30,50.0,9.0,5.0,10:00:00,70,10:30:00,76,10:30-11:30,380.0,3.5,3.5,11:30-12:30,12:30:00,75,14:30:00,45.0,14:30-16:00,16:30-18:00,,800.0,0.15,400,0.902
676,410.0,300,,405.0,700,16:00:00,21.0,,,17:30:00,100,18:30:00,103,0.2,19:30:00,105.0,20:30:00,107.0,0.2,200,20:30-21:30,50.0,10.0,5.0,22:00:00,70,22:30:00,79,22:30-23:30,380.0,3.5,3.5,23:30-0:30,0:30:00,70,2:30:00,50.0,2:30-4:00,4:00-5:30,,800.0,0.15,400,0.892
491,411.0,300,,405.0,700,22:00:00,21.0,,,23:30:00,100,0:30:00,100,0.2,1:30:00,101.0,2:30:00,107.0,0.2,200,2:30-3:30,50.0,10.0,5.0,4:00:00,70,4:30:00,78,4:30-5:30,380.0,3.5,3.5,5:30-6:30,6:30:00,70,8:30:00,46.0,8:30-10:00,10:00-11:30,,800.0,0.15,400,0.902
132,412.0,300,,405.0,700,4:00:00,20.0,,,5:30:00,100,6:30:00,102,0.2,7:30:00,104.0,8:30:00,107.0,0.2,200,8:30-9:30,50.0,10.0,5.0,10:00:00,72,10:30:00,79,10:30-11:30,380.0,3.5,3.5,11:30-12:30,12:30:00,77,14:30:00,47.0,14:30-16:00,16:00-17:30,,800.0,0.15,420,0.935
559,414.0,300,,405.0,700,22:00:00,21.0,,,23:30:00,100,0:30:00,103,0.2,1:30:00,105.0,2:30:00,107.0,0.2,200,2:30-3:30,50.0,9.0,5.0,4:00:00,71,4:30:00,76,4:30-5:30,380.0,3.5,3.5,5:30-6:30,6:30:00,75,8:30:00,45.0,8:30-10:00,10:30-12:00,,800.0,0.15,420,0.935
768,416.0,300,,405.0,700,10:30:00,30.0,,,11:30:00,100,12:30:00,101,0.2,13:30:00,103.0,14:30:00,103.0,0.2,100,14:30-15:00,50.0,10.0,5.0,15:00:00,80,15:30:00,78,15:30-16:30,280.0,3.5,3.5,16:30-17:30,17:30:00,60,19:30:00,45.0,20:00-21:30,22:30-23:30,,800.0,0.15,400,0.902
347,417.0,300,,405.0,700,18:00:00,25.0,,,20:00:00,100,21:00:00,102,0.2,22:00:00,104.0,23:00:00,106.0,0.2,100,23:00-23:30,50.0,9.0,5.0,0:00:00,80,0:30:00,78,0:30-1:30,280.0,3.5,3.5,1:30-2:30,2:30:00,65,5:00:00,45.0,5:00-6:30,7:30-9:00,,800.0,0.15,400,0.902
